,t,S0,I0,S1,I1,S2,I2,S3,I3,S4,I4,S5,I5,S6,I6,S7,I7,S8,I8,S9,I9,S10,I10,S11,I11,S12,I12,S13,I13,S14,I14,S15,I15,S16,I16,S17,I17,S18,I18,S19,I19,S20,I20,S21,I21,S22,I22,S23,I23,S24,I24,S25,I25,S26,I26,S27,I27,S28,I28,S29,I29,S30,I30,S31,I31,S32,I32,S33,I33,S34,I34,S35,I35,S36,I36,S37,I37,S38,I38,S39,I39,S40,I40,S41,I41,S42,I42,S43,I43,S44,I44,S45,I45,S46,I46,S47,I47,S48,I48,S49,I49
0,0.0,500,500,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0
1,0.0,485,0,1002,0,1003,0,996,0,1005,0,999,0,992,0,994,0,987,0,999,0,1008,0,1002,0,1006,0,996,0,1002,0,1004,0,1008,0,1001,0,1006,0,1001,0,996,0,1002,0,1001,0,1003,0,996,0,1002,0,991,0,1001,0,992,0,1011,0,994,0,1005,0,994,0,1000,1,980,0,991,0,989,0,996,0,1000,0,988,0,999,0,1006,0,990,0,1000,0,994,0,995,0,995,0,1000,0,999,0,990,0
2,0.01,577,0,992,0,1003,0,1010,0,983,0,1004,0,941,0,948,0,982,0,1017,0,964,0,961,0,1018,0,982,0,1035,0,971,0,1014,0,1036,0,1048,0,949,0,1019,0,993,0,969,0,987,0,976,0,1009,0,1099,0,1044,0,959,0,1029,0,1003,0,973,0,1033,0,918,0,986,0,1000,0,954,0,1023,0,1037,0,986,0,1019,0,1031,0,1014,0,1008,0,945,0,982,0,983,0,1011,0,981,0,988,0
3,0.2605811068726301,659,0,943,0,1011,0,0,0,1004,0,1013,0,959,0,929,0,964,0,996,0,980,0,940,0,1001,0,990,0,1020,0,972,0,1006,0,1044,0,986,0,957,0,1010,0,1021,0,994,0,991,0,956,0,1000,0,1034,0,1025,0,965,0,1039,0,1002,0,945,0,1039,0,970,0,989,0,1005,0,980,0,999,0,1004,0,1006,0,1016,0,992,0,1010,0,1010,0,935,0,1007,0,977,0,992,0,984,0,972,0
