,t,S0,I0,S1,I1,S2,I2,S3,I3,S4,I4,S5,I5,S6,I6,S7,I7,S8,I8,S9,I9,S10,I10,S11,I11,S12,I12,S13,I13,S14,I14,S15,I15,S16,I16,S17,I17,S18,I18,S19,I19
0,0.0,98,2,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
1,0.0,97,2,103,0,101,0,101,0,103,0,100,0,102,0,100,0,103,0,102,0,101,0,103,0,99,0,100,0,101,0,100,0,100,0,103,0,100,0,100,0
2,0.007693284887820747,98,2,103,0,103,0,102,0,103,0,102,0,103,0,101,0,105,0,102,0,100,0,104,0,100,0,101,0,102,0,101,0,100,0,104,0,100,0,100,0
3,0.01539604670549578,99,2,102,0,103,0,103,0,104,0,104,0,105,0,102,0,105,0,106,0,102,0,105,0,102,0,102,0,103,0,102,0,101,0,103,0,100,0,99,0
4,0.023105554544510395,101,1,102,0,105,0,105,0,104,0,106,0,106,0,105,0,107,0,108,0,103,0,106,0,104,0,102,0,104,0,103,0,101,0,104,0,100,0,100,0
5,0.030823170943168842,103,1,102,0,107,0,108,0,104,0,107,0,107,0,107,0,110,0,109,0,106,0,111,0,105,0,103,0,103,0,104,0,102,0,104,0,100,0,100,0
6,0.03854980941798541,104,0,105,0,107,0,109,0,105,0,107,0,108,0,110,0,112,0,109,0,106,0,114,0,105,0,104,0,104,0,105,0,103,0,107,0,101,0,100,0
7,0.04628851149612017,106,0,105,0,108,0,111,0,106,0,108,0,108,0,114,0,113,0,109,0,106,0,115,0,105,0,104,0,105,0,106,0,105,0,108,0,103,0,101,0
